TESTY;WYSOKOSC;SZEROKOSC;PROPORCJA;MATERIALY;DOMKI;KOPALNIE;SREDNIA SIEC;NAJGORSZA SIEC;NAJLEPSZA SIEC;SREDNIA ALGORYTM;NAJGORSZA ALGORYTM;NAJLEPSZA ALGORYTM
10;6;10;0.9;2;54.0;6.0;0.001020503044128418;0.0018680095672607422;0.00027489662170410156;0.0946854829788208;0.20269560813903809;0.007577419281005859
10;6;10;0.9;5;54.1;5.9;0.001083064079284668;0.0018172264099121094;0.0003459453582763672;0.08605928421020508;0.18006587028503418;0.013483047485351562
10;6;10;0.9;8;54.6;5.4;0.0006898164749145508;0.001249551773071289;0.0002727508544921875;0.036695241928100586;0.08151078224182129;0.002110719680786133
10;6;12;0.5;2;36.7;35.3;0.0034343719482421873;0.005954265594482422;0.0022666454315185547;1.6161322593688965;1.8691632747650146;1.3122334480285645
10;6;12;0.5;5;34.8;37.2;0.003914451599121094;0.006112337112426758;0.0025246143341064453;1.0242815256118774;1.2962095737457275;0.4389050006866455
10;6;12;0.5;8;36.6;35.4;0.004260873794555664;0.008728504180908203;0.0027616024017333984;0.793309235572815;1.188255786895752;0.42357397079467773
10;6;12;0.7;2;50.2;21.8;0.003675961494445801;0.012344598770141602;0.0019865036010742188;1.2350733995437622;1.6562249660491943;0.5429694652557373
10;6;12;0.7;5;50.2;21.8;0.0033256053924560548;0.005986452102661133;0.0021085739135742188;0.8241515159606934;1.1897454261779785;0.31154823303222656
10;6;12;0.7;8;52.0;20.0;0.003096652030944824;0.004223346710205078;0.0020072460174560547;0.6351185083389282;0.9359862804412842;0.4060671329498291
10;6;12;0.9;2;65.4;6.6;0.0009201765060424805;0.0014734268188476562;0.0006816387176513672;0.14915363788604735;0.47507810592651367;0.03936648368835449
10;6;12;0.9;5;64.7;7.3;0.0012879371643066406;0.0033147335052490234;0.0006349086761474609;0.11090395450592042;0.2485029697418213;0.03118157386779785
10;6;12;0.9;8;65.2;6.8;0.001167464256286621;0.0021169185638427734;0.0006837844848632812;0.09633944034576417;0.254901647567749;0.022458314895629883
10;6;15;0.5;2;43.6;46.4;0.005378198623657226;0.009613752365112305;0.003753662109375;4.775304007530212;5.677456617355347;3.708028793334961
10;6;15;0.5;5;45.1;44.9;0.005740952491760254;0.010952949523925781;0.0038208961486816406;3.3281326055526734;4.121024131774902;2.5003018379211426
10;6;15;0.5;8;44.3;45.7;0.006702613830566406;0.0185396671295166;0.004194736480712891;2.594248867034912;4.029504060745239;1.4463186264038086
10;6;15;0.7;2;62.5;27.5;0.005370187759399414;0.00869894027709961;0.003091573715209961;4.060417437553406;6.127029657363892;2.5083582401275635
10;6;15;0.7;5;64.8;25.2;0.004513263702392578;0.007283926010131836;0.0025413036346435547;2.5021392345428466;3.7675888538360596;1.821578025817871
10;6;15;0.7;8;60.5;29.5;0.004510641098022461;0.007697105407714844;0.0024306774139404297;2.2575403451919556;3.370427131652832;1.025874137878418
10;6;15;0.9;2;81.4;8.6;0.002207779884338379;0.0049970149993896484;0.0013284683227539062;0.463358736038208;0.9086470603942871;0.15407228469848633
10;6;15;0.9;5;81.9;8.1;0.002073502540588379;0.0036725997924804688;0.0013582706451416016;0.3734569072723389;1.1423194408416748;0.09438323974609375
10;6;15;0.9;8;79.6;10.4;0.002325916290283203;0.004320383071899414;0.0013623237609863281;0.5129513263702392;1.169400930404663;0.16852283477783203
10;8;4;0.5;2;16.0;16.0;0.0005697488784790039;0.0006871223449707031;0.0005006790161132812;0.025754809379577637;0.04110574722290039;0.008742332458496094
10;8;4;0.5;5;15.7;16.3;0.0006418466567993164;0.0011603832244873047;0.0005133152008056641;0.01662726402282715;0.02605915069580078;0.008762598037719727
10;8;4;0.5;8;16.1;15.9;0.0005814790725708008;0.0011796951293945312;0.0004470348358154297;0.015392184257507324;0.0325314998626709;0.007973194122314453
10;8;4;0.7;2;22.1;9.9;0.000718998908996582;0.001251220703125;0.0003910064697265625;0.02746295928955078;0.04665541648864746;0.015538930892944336
10;8;4;0.7;5;21.1;10.9;0.0008179187774658203;0.0015091896057128906;0.0005793571472167969;0.018500399589538575;0.031157255172729492;0.007025957107543945
10;8;4;0.7;8;22.9;9.1;0.0007917165756225586;0.0016486644744873047;0.00031757354736328125;0.015909862518310548;0.025411128997802734;0.006826162338256836
10;8;4;0.9;2;29.6;2.4;0.00019485950469970702;0.00029158592224121094;0.00012135505676269531;0.0034142255783081053;0.009573698043823242;0.0005817413330078125
10;8;4;0.9;5;28.4;3.6;0.0002391338348388672;0.00032448768615722656;0.00011157989501953125;0.004007983207702637;0.01075291633605957;0.00015616416931152344
10;8;4;0.9;8;29.5;2.5;0.00019683837890625;0.0003540515899658203;0.00012755393981933594;0.002128911018371582;0.0045223236083984375;0.0005958080291748047
10;8;6;0.5;2;25.7;22.3;0.0012361526489257813;0.0015244483947753906;0.0010821819305419922;0.18276546001434327;0.22922420501708984;0.1538844108581543
10;8;6;0.5;5;26.0;22.0;0.0012775421142578124;0.0020449161529541016;0.0009634494781494141;0.09418108463287353;0.12238526344299316;0.04441070556640625
10;8;6;0.5;8;22.7;25.3;0.0017683267593383788;0.004106998443603516;0.0010726451873779297;0.13051321506500244;0.19075703620910645;0.08112764358520508
10;8;6;0.7;2;32.3;15.7;0.001347661018371582;0.0023849010467529297;0.0008008480072021484;0.21579887866973876;0.3155827522277832;0.08786392211914062
10;8;6;0.7;5;33.3;14.7;0.0016113519668579102;0.002037525177001953;0.0007264614105224609;0.13781964778900146;0.21434903144836426;0.058725833892822266
10;8;6;0.7;8;34.2;13.8;0.0014300823211669921;0.0022339820861816406;0.0008194446563720703;0.09839916229248047;0.17364788055419922;0.046102046966552734
10;8;6;0.9;2;42.9;5.1;0.0004788875579833984;0.0006515979766845703;0.00022673606872558594;0.024744033813476562;0.05285024642944336;0.0002810955047607422
10;8;6;0.9;5;43.8;4.2;0.0004268169403076172;0.0007774829864501953;0.0001881122589111328;0.01287996768951416;0.02626323699951172;0.001394510269165039
10;8;6;0.9;8;42.6;5.4;0.0005447864532470703;0.0008921623229980469;0.00023889541625976562;0.019138383865356445;0.038339853286743164;0.0022592544555664062
10;8;8;0.5;2;33.8;30.2;0.0036679983139038088;0.0072247982025146484;0.002096891403198242;0.9964897871017456;1.3847522735595703;0.5849833488464355
10;8;8;0.5;5;32.8;31.2;0.0038203001022338867;0.007166624069213867;0.0016760826110839844;0.6327222585678101;0.9825854301452637;0.4652576446533203
10;8;8;0.5;8;33.2;30.8;0.003700065612792969;0.004984378814697266;0.002274751663208008;0.44302659034729003;0.8861682415008545;0.24753046035766602
10;8;8;0.7;2;44.0;20.0;0.002424955368041992;0.003602266311645508;0.0016601085662841797;0.7655074119567871;1.102344274520874;0.5424444675445557
10;8;8;0.7;5;44.0;20.0;0.001844930648803711;0.0021381378173828125;0.0016551017761230469;0.3670140266418457;0.4542863368988037;0.24308443069458008
10;8;8;0.7;8;42.4;21.6;0.0028234004974365236;0.0055043697357177734;0.001535177230834961;0.3690054178237915;0.904555082321167;0.1826324462890625
10;8;8;0.9;2;57.9;6.1;0.0007841110229492188;0.0011506080627441406;0.0004646778106689453;0.08114345073699951;0.16071820259094238;0.026597023010253906
10;8;8;0.9;5;56.9;7.1;0.0008550882339477539;0.001203775405883789;0.0002982616424560547;0.0870809555053711;0.1978456974029541;0.0048983097076416016
10;8;8;0.9;8;58.5;5.5;0.0009545326232910156;0.0019855499267578125;0.0003886222839355469;0.04152140617370605;0.0683140754699707;0.008140802383422852
10;8;10;0.5;2;39.8;40.2;0.0036633491516113283;0.0064890384674072266;0.003086090087890625;2.4053550004959106;3.589465618133545;1.8620524406433105
10;8;10;0.5;5;40.3;39.7;0.00445859432220459;0.008849143981933594;0.0029535293579101562;1.9252312898635864;2.6807503700256348;1.3231801986694336
10;8;10;0.5;8;39.4;40.6;0.0045182228088378905;0.007490873336791992;0.003161907196044922;1.3636313438415528;2.3155930042266846;0.9443886280059814
10;8;10;0.7;2;56.0;24.0;0.006425690650939941;0.01677989959716797;0.0023050308227539062;2.6268386363983156;3.430603504180908;1.8090434074401855
10;8;10;0.7;5;56.8;23.2;0.003316926956176758;0.0052623748779296875;0.002155780792236328;1.3481361150741578;2.670548439025879;0.690361738204956
10;8;10;0.7;8;56.6;23.4;0.003708767890930176;0.006184577941894531;0.0022394657135009766;0.9528347015380859;1.6103198528289795;0.4008979797363281
10;8;10;0.9;2;70.6;9.4;0.0019922494888305665;0.004074573516845703;0.0007371902465820312;0.406282377243042;1.17720365524292;0.1367964744567871
10;8;10;0.9;5;73.7;6.3;0.0014207601547241212;0.0033724308013916016;0.0006937980651855469;0.151697039604187;0.4423494338989258;0.02283644676208496
